title,experience,company_name,when_scraped,employment_type,key_skills,salary_max,salary_min
Senior Data analyst,"[3, 6]",ООО Ок Софт,15-01-2024 06:03:34,"Полная занятость, удаленная работа",[],,
Junior Quantitative Researcher,[0],ООО Актив Матрикс,15-01-2024 06:19:44,"Полная занятость, полный день",[],250000.0,150000.0
BI аналитик,"[3, 6]",Video-Shoper.ru,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Анализ данных', 'Статистический анализ', 'Аналитика', 'Финансовый анализ', 'Анализ текущих финансовых показателей']",,120000.0
BI аналитик,"[1, 3]",ООО Градус,15-01-2024 06:19:44,"Полная занятость, полный день","['MS SQL', 'Python', 'DAX', 'SQL', 'Базы данных', 'FMCG', 'Аналитика данных', 'Аналитические исследования', 'MS Excel', 'Power Query', 'MS PowerPoint']",250000.0,
Full Stack разработчик/Senior Angular в онлайн-сервис автоматической вёрстки книг,[6],Метранпаж,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Angular', 'TypeScript', 'Node.js', 'SQL', 'Jira', 'Python', 'Postgre', 'JavaScript']",350000.0,
Middle / Senior mobile QA инженер (Python),"[1, 3]",ООО HeadHunter::QA,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],,250000.0
Java разработчик в команду API,"[3, 6]",ООО HeadHunter::Backend,15-01-2024 06:19:44,"Полная занятость, полный день","['PostgreSQL', 'Java', 'Git', 'SQL', 'Backend', 'Spring Framework', 'REST', 'Hibernate ORM', 'Ориентация на результат']",,350000.0
Тимлид в команду Job Board,[6],ООО HeadHunter::Backend,15-01-2024 06:19:44,"Полная занятость, полный день","['Backend', 'Java', 'Spring Framework', 'Управление командой']",,
"Java разработчик в команду ""Навыки""","[3, 6]",ООО HeadHunter::Backend,15-01-2024 06:19:44,"Полная занятость, полный день","['PostgreSQL', 'Java', 'Git', 'SQL', 'Backend', 'Spring Framework', 'REST', 'Hibernate ORM']",,350000.0
Педагог программирования со знанием английского в онлайн-школу (удаленно),"[1, 3]",Роботекс,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],80000.0,35000.0
